"","treatment","inoculum","sample_Id","plant","length","avgDiam","rootVolume","lenPerVol","FRL","CRL","FRS","CRS","FVOL"
"1","NT","NI",1,"NI_NT1",2621.4726,0.3415,2.401,436912.1069,5194.0201,36.3004,466.1042,24.7548,10379.683
"2","NT","NI",2,"NI_NT2",3321.3667,0.274,1.959,553561.1182,6614.9348,7.9101,481.4919,5.1272,19041.6524
"3","NT","NI",3,"NI_NT3",1453.6453,0.2434,0.676,242274.2135,2881.2669,13.9777,179.7027,10.8149,14190.0036
"4","NT","NI",4,"NI_NT4",4928.4484,0.2517,2.452,821408.0598,9830.6077,11.3751,662.9976,7.4441,23928.0121
"5","NT","NI",5,"NI_NT5",2527.2398,0.272,1.469,421206.6338,5008.7344,18.8,334.9263,13.211,27105.2793
"6","NT","NI",6,"NI_NT6",2974.6118,0.269,1.691,495768.626,5910.0567,17.305,405.3364,10.3457,25663.8714
"7","NT","NI",7,"NI_NT7",3154.6907,0.1994,0.985,525781.7792,6294.3931,2.2844,331.0476,1.5858,27305.201
"8","NT","NI",8,"NI_NT8",2990.9912,0.2748,1.774,498498.5321,5940.7788,27.0525,421.6587,18.6156,22909.3256
"9","NT","NI",9,"NI_NT9",3130.556,0.2457,1.484,521759.3305,6228.1328,4.5148,388.7711,3.5361,28996.8152
"10","NT","NI",10,"NI_NT10",2095.7589,0.2808,1.298,349293.1465,4135.7976,42.7281,289.9456,27.5121,16336.0977
"11","NT","NI",11,"NI_NT11",3763.0479,0.3377,3.37,627174.6453,7441.9416,48.3684,631.0457,28.0518,33113.9883
"12","NT","NI",12,"NI_NT12",3013.4435,0.2981,2.103,502240.5859,5979.6551,28.4283,465.4006,18.1985,33967.8364
"13","NT","NI",13,"NI_NT13",2918.4503,0.2322,1.236,486408.3819,5818.4587,4.6426,354.7012,2.9688,35987.9218
"14","NT","NI",14,"NI_NT14",4668.6708,0.2221,1.809,778111.7992,9307.3851,11.6734,539.8838,8.1435,40789.0552
"15","NT","NI",15,"NI_NT15",2956.7138,0.2224,1.149,492785.6276,5879.6498,17.7931,332.0281,11.8015,33502.5165
"16","NT","NI",16,"NI_NT16",2572.7632,0.2984,1.799,428793.8692,5107.2812,14.7327,387.9876,11.4949,27080.7877
"17","NT","NI",17,"NI_NT17",2083.8923,0.227,0.844,347315.3782,4138.6667,15.869,234.8408,11.9794,27461.1433
"18","NT","NI",18,"NI_NT18",2732.2371,0.282,1.707,455372.8429,5421.2099,11.497,379.7298,7.9564,24350.7769
"19","NT","NI",19,"NI_NT19",3966.7263,0.2462,1.888,661121.0552,7886.3228,23.991,492.0083,15.7818,35772.2815
"20","NT","NI",20,"NI_NT20",3808.0194,0.2834,2.403,634669.8982,7575.6496,18.2638,548.147,13.0985,31304.188
"21","NT","NI",21,"NI_NT21",2256.7792,0.2615,1.212,376129.859,4488.7917,10.0188,295.7571,7.3072,24062.7171
"22","NT","NI",22,"NI_NT22",2965.2235,0.2734,1.741,494203.9124,5896.7496,10.9085,420.0752,7.8889,28808.7555
"23","NT","NI",23,"NI_NT23",1824.5726,0.2249,0.725,304095.4405,3634.8593,1.7169,206.2681,1.2801,29509.4256
"24","NT","NI",24,"NI_NT24",2121.7177,0.2307,0.887,353619.6199,4225.2988,3.8221,255.7152,2.6923,14806.0865
"25","NT","NI",25,"NI_NT25",3968.3391,0.2378,1.763,661389.8419,7906.8067,10.8566,497.7152,6.5292,26842.3148
"26","T","NI",1,"NI_T1",1088.0749,0.4382,1.641,181345.8104,2138.3635,12.5472,223.3416,9.4374,4454.8852
"27","T","NI",2,"NI_T2",1834.5633,0.3215,1.49,305760.5466,3660.4726,8.3724,337.6501,4.6737,4153
"28","T","NI",3,"NI_T3",1081.7297,0.4142,1.458,180288.2796,2123.671,38.4984,231.147,26.0892,2267.1308
"29","T","NI",4,"NI_T4",766.162,0.3224,0.625,127693.6713,1518.0473,7.1831,125.9983,5.892,2547.0284
"30","T","NI",5,"NI_T5",1757.7301,0.279,1.075,292955.0207,3508.6841,3.2944,266.6093,2.1108,10496.0232
"31","T","NI",6,"NI_T6",2674.1611,0.2552,1.367,445693.51,5339.0144,8.0526,375.5369,4.6958,9688
"32","T","NI",7,"NI_T7",2115.9191,0.2054,0.701,352653.1821,4221.9166,8.9629,231.1135,5.1366,12996
"33","T","NI",8,"NI_T8",1147.9296,0.444,1.777,191321.5923,2258.491,19.4442,251.0992,13.0068,1993.4275
"34","T","NI",9,"NI_T9",1428.5377,0.2979,0.995,238089.6141,2840.0343,6.7801,221.0667,5.0154,5504.3613
"35","T","NI",10,"NI_T10",1175.4557,0.3011,0.837,195909.2821,2329.8743,8.4974,174.7574,6.3459,6652.9636
"36","T","NI",11,"NI_T11",1036.2873,0.3936,1.261,172714.5473,2028.8447,24.5664,194.5689,16.6923,4869.4926
"37","T","NI",12,"NI_T12",813.5053,0.4268,1.164,135584.2136,1607.3654,8.5742,172.1355,6.0901,1994.9481
